Team,Team_id
Barcelona,28Lap3gH
Real Madrid,CHn36FwD
Atlético Madrid,4f2vLvji
Real Sociedad,KnTGJWSP
Villarreal,SFYnA7re
Real Betis,FmRr4qnr
Osasuna,m44KX7DE
Athletic Club,itzHVJd9
Mallorca,3HzfyuGc
Girona,J95T4bF7
Rayo Vallecano,5Gz4aLDp
Sevilla FC,868mQA9e
Celta Vigo,XZiiPAnU
Cádiz,gYJ7KkdK
Getafe,X3RQNXM5
Valencia,KcyN6U8c
Almería,LJvpMS3o
Real Valladolid,mPqrVEkV
Espanyol,K5LHtqzb
Elche,dqUeLYaW
Napoli,bDKKKvRt
Lazio,2CQzjx7G
Internazionale,QSvJfyuk
AC Milan,WA3uryuD
Atalanta,jKX6M3Uf
AS Roma,VTvKrY2T
Juventus,BMUtUmGJ
Fiorentina,4BjXoEkq
Bolonia,6Noja9Ru
Torino,KEoeFpML
Monza,hguxNHY3
Udinese,kpdMCtLt
Sassuolo,RyKY34nX
Empoli,Wzem34D4
Salernitana,jUXuyNh9
Lecce,BzPTMFje
Spezia,WgW9VDrY
Hellas Verona,UjR6XbMV
Cremonese,3hBuiWPi
Sampdoria,JJ7eNpit
Manchester City,KJDjYXJg
Arsenal,Ecn3HXzq
Manchester United,WLmFuxED
Newcastle United,5ktwgt9u
Liverpool,TFbq9BiB
Brighton & Hove Albion,JB6vPWf9
Aston Villa,Gthweu7D
Tottenham Hotspur,8wUmxQHe
Brentford,aaTsahR7
Fulham,NEwB2bpT
Crystal Palace,STXJWVD8
Chelsea,PDDh3VsS
Wolverhampton Wanderers,WF4HzenU
West Ham United,G6Kga5nJ
AFC Bournemouth,oKiQ6F7n
Nottingham Forest,BR9pbbps
Everton,KzNwSrfm
Leicester City,YaBwEUkx
Leeds United,9qvFAwMT
Southampton,UGKDigtm
Bayern Munich,grdRYJDH
Borussia Dortmund,a6DLQbi8
RB Leipzig,b5rrLjbd
1. FC Union Berlin,UfvQnWJN
SC Freiburg,bda2zecE
Bayer Leverkusen,HYDeZdXR
Eintracht Frankfurt,Vn4jPuWw
VfL Wolfsburg,CzaBBtET
Mainz,iZmsNivc
Borussia Monchengladbach,gMLRfPSK
FC Cologne,jfLirDR3
TSG Hoffenheim,fdmovze5
Werder Bremen,aohY6yra
VfL Bochum,PfskHRkS
F. C. Augsburgo,8u2533Gj
VfB Stuttgart,NsghZgxW
Schalke 04,e4RynTtK
Hertha Berlin,Z9mjCTE8
Paris Saint-Germain,LxJuBvVR
Lens,kpWKWrzT
Marseille,WbKLPCvT
Stade Rennais,BnwVSbKd
LLille,6iQcUXtv
AS Mónaco,kguWTywu
NLyon,FQE73FFu
rmontClermont Foot,FWeP7adB
ENice,5kHq4hTo
Lorient,Ybva2pXq
MStade de Reims,VNGsLsn6
Montpellier,YsMUHXJt
Toulouse,fGucPQBh
Brest,7XTqctVd
Strasbourg,9U3ucbUN
Nantes,aV8zXzKb
AJ Auxerre,dkLeFZui
AC Ajaccio,R4KPwhrV
Troyes,HZaxXeMJ
Angers,2uE7Vnn2
Benfica,V9jEpiNi
FC Porto,SDbSUWBu
GBraga,CYf5WfTx
Sporting CP,cWLtk4nB
Arouca,eESmETpR
Guimaraes,JiLgDZB8
GD Chaves,jhh3EqgR
FC Famalicao,T9fVj9Hj
Boavista,8ByzaCvD
Casa Pia,Y34qYiRj
Vizela,JcpDiEQS
Rio Ave,YgLCp3fY
CGil Vicente,Y4Ttwxrx
Estoril,7dQu9k2s
OPortimonense,5HTqgXbg
Maritimo,kwxNFPQe
Paços de Ferreira,SBjtmft2
Santa Clara,T6QZpoE6
